Actual,Predicted,Count
extra_charge_on_statement,card_payment_not_recognised,1
exchange_via_app,fiat_currency_support,1
exchange_rate,transfer_not_received_by_recipient,1
exchange_charge,exchange_via_app,1
direct_debit_payment_not_recognised,why_verify_identity,1
direct_debit_payment_not_recognised,verify_source_of_funds,1
direct_debit_payment_not_recognised,transfer_fee_charged,1
direct_debit_payment_not_recognised,reverted_card_payment?,1
direct_debit_payment_not_recognised,card_payment_not_recognised,1
declined_transfer,transfer_not_received_by_recipient,1
declined_transfer,transaction_charged_twice,1
declined_transfer,declined_cash_withdrawal,1
declined_transfer,contactless_not_working,1
declined_transfer,beneficiary_not_allowed,1
wrong_exchange_rate_for_cash_withdrawal,exchange_charge,1
