Model,Validation Macro F1,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted F1
Embeddings + Logistic Regression,0.9028033128248201,0.9081168831168831,0.9126817266016494,0.9081168831168831,0.9079477557401493,0.9079477557401492
Embeddings + Linear SVM,0.9260575178892829,0.9275974025974026,0.9298762670280931,0.9275974025974028,0.9273309532075863,0.9273309532075865
Embeddings + MLP,0.8929873671306887,0.9068181818181819,0.9135196952886842,0.9068181818181816,0.9073111592197447,0.9073111592197447
