Model,Validation Macro F1,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted F1
TF-IDF + Logistic Regression,0.8734978710802443,0.8912337662337663,0.8957655180536068,0.8912337662337663,0.8915088621837381,0.8915088621837385
TF-IDF + Linear SVM,0.882009815124159,0.8905844155844156,0.894419625264845,0.8905844155844155,0.8905914218629633,0.8905914218629635
Embeddings + Logistic Regression,0.9028033128248201,0.9081168831168831,0.9126817266016494,0.9081168831168831,0.9079477557401493,0.9079477557401492
Embeddings + Linear SVM,0.9260575178892829,0.9275974025974026,0.9298762670280931,0.9275974025974028,0.9273309532075863,0.9273309532075865
Embeddings + MLP,0.8929873671306887,0.9068181818181819,0.9135196952886842,0.9068181818181816,0.9073111592197447,0.9073111592197447
